 57, 94;
 57, 96;
 56, 97;
 56, 99;
 55, 100;
 55, 102;
 54, 103;
 54, 105;
 53, 106;
 53, 109;
 52, 110;
 52, 113;
 51, 114;
 51, 117;
 50, 118;
 50, 122;
 49, 123;
 49, 129;
 48, 130;
 48, 139;
 47, 140;
 47, 153;
 48, 154;
 48, 165;
 49, 166;
 49, 173;
 50, 174;
 50, 179;
 51, 180;
 51, 183;
 52, 184;
 52, 187;
 53, 188;
 53, 191;
 54, 192;
 54, 196;
 55, 197;
 55, 199;
 56, 200;
 56, 202;
 57, 203;
 57, 205;
 58, 206;
 58, 207;
 59, 208;
 59, 210;
 60, 211;
 60, 213;
 61, 214;
 61, 215;
 62, 216;
 62, 217;
 63, 218;
 63, 219;
 64, 220;
 64, 221;
 65, 222;
 65, 223;
 66, 224;
 66, 225;
 67, 226;
 67, 227;
 68, 228;
 68, 229;
 70, 231;
 70, 232;
 71, 233;
 71, 234;
 72, 235;
 72, 236;
 74, 238;
 74, 239;
 77, 242;
 77, 243;
 78, 244;
 78, 245;
 82, 249;
 82, 250;
 86, 254;
 86, 255;
 87, 256;
 88, 256;
 89, 257;
 89, 258;
 90, 259;
 90, 260;
 97, 267;
 97, 268;
 102, 273;
 103, 273;
 104, 274;
 104, 275;
 113, 284;
 113, 285;
 114, 285;
 133, 304;
 134, 304;
 153, 323;
 153, 324;
 157, 328;
 157, 329;
 160, 332;
 160, 333;
 162, 335;
 162, 336;
 165, 339;
 165, 340;
 166, 341;
 166, 342;
 167, 343;
 167, 344;
 169, 346;
 169, 347;
 170, 348;
 170, 349;
 171, 350;
 171, 351;
 172, 352;
 172, 353;
 174, 355;
 174, 356;
 175, 357;
 175, 359;
 176, 360;
 176, 361;
 177, 362;
 177, 364;
 178, 365;
 178, 366;
 179, 367;
 179, 369;
 180, 370;
 180, 373;
 181, 374;
 181, 378;
 182, 379;
 182, 382;
 183, 383;
 183, 390;
 184, 391;
 184, 404;
 183, 405;
 183, 410;
 182, 411;
 182, 414;
 181, 415;
 181, 418;
 180, 419;
 180, 421;
 179, 422;
 179, 423;
 178, 424;
 178, 425;
 177, 426;
 177, 427;
 176, 428;
 176, 429;
 176, 428;
 177, 427;
 177, 426;
 178, 425;
 178, 424;
 179, 423;
 179, 422;
 180, 421;
 180, 419;
 181, 418;
 181, 415;
 182, 414;
 182, 411;
 183, 410;
 183, 405;
 184, 404;
 184, 391;
 183, 390;
 183, 383;
 182, 382;
 182, 379;
 181, 378;
 181, 374;
 180, 373;
 180, 370;
 179, 369;
 179, 367;
 178, 366;
 178, 365;
 177, 364;
 177, 362;
 176, 361;
 176, 360;
 175, 359;
 175, 357;
 174, 356;
 174, 355;
 173, 354;
 173, 353;
 171, 351;
 171, 350;
 170, 349;
 170, 347;
 168, 345;
 168, 344;
 166, 342;
 166, 341;
 165, 340;
 165, 339;
 164, 338;
 164, 337;
 161, 334;
 161, 333;
 159, 331;
 159, 330;
 156, 327;
 156, 326;
 152, 322;
 152, 321;
 136, 305;
 135, 305;
 116, 286;
 115, 286;
 112, 283;
 112, 282;
 111, 281;
 110, 281;
 108, 279;
 108, 278;
 107, 277;
 106, 277;
 104, 275;
 104, 274;
 96, 266;
 96, 265;
 89, 258;
 89, 257;
 85, 253;
 85, 252;
 81, 248;
 81, 247;
 77, 243;
 77, 242;
 76, 241;
 76, 240;
 73, 237;
 73, 236;
 71, 234;
 71, 233;
 70, 232;
 70, 231;
 69, 230;
 69, 229;
 67, 227;
 67, 226;
 66, 225;
 66, 224;
 65, 223;
 65, 222;
 64, 221;
 64, 220;
 63, 219;
 63, 218;
 62, 217;
 62, 216;
 61, 215;
 61, 214;
 60, 213;
 60, 211;
 59, 210;
 59, 208;
 58, 207;
 58, 206;
 57, 205;
 57, 203;
 56, 202;
 56, 200;
 55, 199;
 55, 197;
 54, 196;
 54, 192;
 53, 191;
 53, 188;
 52, 187;
 52, 184;
 51, 183;
 51, 180;
 50, 179;
 50, 174;
 49, 173;
 49, 166;
 48, 165;
 48, 154;
 47, 153;
 47, 140;
 48, 139;
 48, 130;
 49, 129;
 49, 123;
 50, 122;
 50, 118;
 51, 117;
 51, 114;
 52, 113;
 52, 110;
 53, 109;
 53, 106;
 54, 105;
 54, 103;
 55, 102;
 55, 100;
 56, 99;
 56, 97;
